PBI ID,Title,Type,Description,Priority,Estimate,Sprint,Assignee,Status,Linked Issue,Goal/Milestone
PBI-051,Make a conclusion of key lessons learned during the sprint,Task,N/A,Medium,3 Story Points,Sprint 3,Darcyddx,Done,https://github.com/Darcyddx/Active-Vision/issues/51,General Development
PBI-050,Ball speed calculation and test effect,Task,We develop a kind of method to calculate the instant speed of the ball hit by players and show the number of speed appeared in camera.,Medium,3 Story Points,Sprint 3,Rickzhang512,Done,https://github.com/Darcyddx/Active-Vision/issues/50,General Development
PBI-049,delivery plan,Task,N/A,Medium,3 Story Points,Sprint 3,LamPeiLing,To Do,https://github.com/Darcyddx/Active-Vision/issues/49,General Development
PBI-048,poster and pitch,Task,N/A,Medium,3 Story Points,Sprint 3,LamPeiLing,To Do,https://github.com/Darcyddx/Active-Vision/issues/48,General Development
PBI-047,implement android app court detection,Task,N/A,Medium,3 Story Points,Sprint 3,LamPeiLing,To Do,https://github.com/Darcyddx/Active-Vision/issues/47,General Development
PBI-046,deploy detectron2 model in android environment,Task,N/A,Medium,3 Story Points,Sprint 3,LamPeiLing,Done,https://github.com/Darcyddx/Active-Vision/issues/46,General Development
PBI-045,Ball speed tracking,Task,Track the speed of tennis ball,Medium,3 Story Points,Sprint 3,Darcyddx,Done,https://github.com/Darcyddx/Active-Vision/issues/45,General Development
PBI-044,Created PlayerPoseEstimator.java,Task,"- Loads the RNN model (`tennis_rnn.tflite`) from assets.
- Maintains a sliding window of **30 frames** of keypoints (13 points × (x,y)).
- Constructs a `[1,30,26]` tensor and runs inference.
- Supports both **float32** and **uint8** models.
- Outputs 4-class softmax probabilities (Serve, Backhand, Neutral, Forehand).",Medium,3 Story Points,Sprint 3,WhiteMasky,To Do,https://github.com/Darcyddx/Active-Vision/issues/44,General Development
PBI-043,Created PlayerPoseEstimator.java,Task,"- Loads the RNN model (`tennis_rnn.tflite`) from assets.
- Maintains a sliding window of **30 frames** of keypoints (13 points × (x,y)).
- Constructs a `[1,30,26]` tensor and runs inference.
- Supports both **float32** and **uint8** models.
- Outputs 4-class softmax probabilities (Serve, Backhand, Neutral, Forehand).",Medium,3 Story Points,Sprint 3,Unassigned,To Do,https://github.com/Darcyddx/Active-Vision/issues/43,General Development
PBI-042,Code and Model Debugging and Optimization,Task,"- [ ]  Debug potential issues in the model.
- [ ] Test the model across different platforms (Windows, Linux, Android) to ensure stability.
- [ ]  Optimize for specific hardware on Android devices to improve inference performance.
 

",Medium,3 Story Points,Sprint 3,WhiteMasky,To Do,https://github.com/Darcyddx/Active-Vision/issues/42,General Development
PBI-041,Visualization and Action Statistics,Task,"- [ ]  Implement result visualization by annotating keypoints on the video frames.
- [ ]  Track and count forehand and backhand serves based on RNN model predictions.
- [ ] Annotate action types and confidence values on video frames to help users understand the model's predictions.
- [ ] Make it realtime if possible
 ",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/41,General Development
PBI-040,Model Deployment in Android Environment,Task,"- [ ]  Integrate TensorFlow Lite models into the Android project.
- [ ]  Write the PlayerPoseEstimator class to handle model inference, ensuring that it can extract and predict pose data from video streams.
- [ ]  Handle camera preview and image analysis on Android, drawing pose estimation results on the screen.
- [ ]  Test the model inference on Android to ensure it performs as expected and is stable.",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/40,General Development
PBI-039,Model Conversion and Optimization,Task,"- [ ]  Convert the trained TensorFlow models (e.g., MobileNetV2, RNN models) to TensorFlow Lite format to ensure they can run on mobile devices.
- [ ]  Optimize the TensorFlow Lite models by using built-in ops (BUILTINS) to improve inference speed on Android and other devices.
- [ ]  Perform FP16 quantization to reduce the model size and improve inference speed.",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/39,General Development
PBI-038,RNN Model Integration,Task,"- [ ]  Adjust the RNN model input format to make it can detect dynamic action.
- [ ]  Integrate the RNN model to perform sequential prediction on the pose data.
- [ ] Test the RNN model's performance to ensure it accurately recognizes actions.
- [ ]  Use the model's output to classify actions and count occurrences of each action.",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/38,General Development
PBI-037,Pose Estimation Model Selection and Usage,Task," - [ ] Select and fine-tune a suitable pose estimation model.
- [ ]  Ensure that the pose estimation model's output is in the format.
- [ ] Pass the pose estimation results to downstream tasks.",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/37,General Development
PBI-036,Review the principles of existing models,Task,"- [x]  Review how the existing models work and understand its input and output.
- [x]  Modify the player detection section to output bounding boxes.
- [x]  Use MobileNetV2 to extract 17 keypoints of the player, discarding unnecessary ones (e.g., eyes, ears) and keeping only the 13 relevant keypoints.",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/36,General Development
PBI-035,Pose Estimation Dataset Preparation,Task,"- [ ]  Determine the dataset format.
- [ ]  Process the dataset and extract human keypoints for each video frame.
",Medium,3 Story Points,Sprint 3,WhiteMasky,Done,https://github.com/Darcyddx/Active-Vision/issues/35,General Development
